customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,tenure_was_missing,monthly_charges_was_missing,total_logins,avg_session_mins,login_days_active,days_since_last_login,total_tickets,avg_resolution_hours,max_resolution_hours,billing_tickets,technical_tickets,billing_ticket_ratio,total_bills,total_late_payments,late_payment_rate,avg_payment_gap,max_payment_gap,avg_amount_due
9763-GRSKD,Male,0,Yes,Yes,13.0,Yes,No,Dsl,Yes,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,49.95,587.45,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,55.21
7469-LKBCI,Male,0,No,No,16.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),18.95,326.8,0,0,0,5.0,38.0,1.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,97.34
8091-TTVAX,Male,0,Yes,No,58.0,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,No,Credit Card (Automatic),100.35,5681.1,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,4.16,8.32,50.72
0280-XJGEX,Male,0,No,No,49.0,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),103.7,5036.3,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,60.0
5129-JLPIS,Male,0,No,No,25.0,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,105.5,2686.05,0,0,0,1.0,173.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,4.59,9.18,54.78
3655-SNQYZ,Female,0,Yes,Yes,69.0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card (Automatic),113.25,7895.15,0,0,0,5.0,8.0,1.0,142.0,1.0,13.6,13.6,0.0,0.0,0.0,1,0,0.0,0.0,0.0,48.51
8191-XWSZG,Female,0,No,No,52.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,20.65,1022.95,0,0,0,5.0,130.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.33,6.52,19.56,88.67
9959-WOFKT,Male,0,No,Yes,71.0,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Two Year,No,Bank Transfer (Automatic),106.7,7382.25,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,102.57
4190-MFLUW,Female,0,Yes,Yes,10.0,Yes,No,Dsl,No,No,Yes,Yes,No,No,Month-To-Month,No,Credit Card (Automatic),55.2,528.35,1,0,0,0.0,0.0,0.0,365.0,1.0,0.8,0.8,0.0,1.0,0.0,1,0,0.0,0.0,0.0,61.83
4183-MYFRB,Female,0,No,No,21.0,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,90.05,1862.9,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,4.73,4.73,64.44
8779-QRDMV,Male,1,No,No,1.0,No,No Phone Service,Dsl,No,No,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,39.65,39.65,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,82.48
1680-VDCWW,Male,0,Yes,No,12.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Transfer (Automatic),19.8,202.25,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.33,9.65,28.94,56.49
1066-JKSGK,Male,0,No,No,1.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.15,20.15,1,0,0,5.0,35.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.33,10.15,30.45,72.67
3638-WEABW,Female,0,Yes,No,58.0,Yes,Yes,Dsl,No,Yes,No,Yes,No,No,Two Year,Yes,Credit Card (Automatic),59.9,3505.1,0,0,0,3.0,23.0,1.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,79.87
6322-HRPFA,Male,0,Yes,Yes,49.0,Yes,No,Dsl,Yes,Yes,No,Yes,No,No,Month-To-Month,No,Credit Card (Automatic),59.6,2970.3,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,31.52
6865-JZNKO,Female,0,No,No,30.0,Yes,No,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),55.3,1530.6,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,71.36
6467-CHFZW,Male,0,Yes,Yes,47.0,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,99.35,4749.15,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,51.39
8665-UTDHZ,Male,0,Yes,Yes,1.0,No,No Phone Service,Dsl,No,Yes,No,No,No,No,Month-To-Month,No,Electronic Check,30.2,30.2,1,0,0,10.0,29.5,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,8.63,8.63,25.48
5248-YGIJN,Male,0,Yes,No,72.0,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),90.25,6369.45,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,80.24
8773-HHUOZ,Female,0,No,Yes,17.0,Yes,No,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,64.7,1093.1,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,26.58
3841-NFECX,Female,1,Yes,No,71.0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card (Automatic),96.35,6766.95,0,0,0,6.0,97.0,1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,102.11
4929-XIHVW,Male,1,Yes,No,12.0,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),95.5,181.65,0,1,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,78.86
6827-IEAUQ,Female,0,Yes,Yes,27.0,Yes,No,Dsl,Yes,Yes,Yes,Yes,No,No,One Year,No,Mailed Check,66.15,1874.45,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,79.65
7310-EGVHZ,Male,0,No,No,1.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Bank Transfer (Automatic),20.2,20.2,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,91.33
3413-BMNZE,Male,1,No,No,1.0,Yes,No,Dsl,No,No,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),45.25,45.25,0,0,0,0.0,0.0,0.0,365.0,2.0,21.1,39.2,1.0,0.0,0.5,1,0,0.0,0.0,0.0,61.94
6234-RAAPL,Female,0,Yes,Yes,72.0,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Two Year,No,Bank Transfer (Automatic),99.9,7251.7,0,0,0,0.0,0.0,0.0,365.0,1.0,10.0,10.0,1.0,0.0,1.0,3,0,0.0,0.0,0.0,70.14
6047-YHPVI,Male,0,No,No,5.0,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,69.7,316.9,1,0,0,4.0,95.0,1.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,27.33
6572-ADKRS,Female,0,No,No,12.0,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),74.8,3548.3,0,1,0,2.0,283.0,1.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,90.15
5380-WJKOV,Male,0,No,No,34.0,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,106.35,3549.25,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.67,9.47,18.6,79.29
8168-UQWWF,Female,0,No,No,11.0,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),97.85,1105.4,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,49.49
8865-TNMNX,Male,0,Yes,Yes,10.0,Yes,No,Dsl,No,Yes,No,No,No,No,One Year,No,Mailed Check,49.55,475.7,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,32.6
9489-DEDVP,Female,0,Yes,Yes,70.0,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,No,Two Year,Yes,Credit Card (Automatic),69.2,4872.35,0,0,0,2.0,67.0,1.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,54.3
9867-JCZSP,Female,0,Yes,Yes,17.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,20.75,418.25,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,12.85,12.85,32.75
4671-VJLCL,Female,0,No,No,63.0,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card (Automatic),79.85,4861.45,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,83.07
4080-IIARD,Female,0,Yes,No,13.0,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,76.2,981.45,0,0,0,4.0,71.0,1.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,66.31
3714-NTNFO,Female,0,No,No,49.0,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,84.5,3906.7,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,48.54
5948-UJZLF,Male,0,No,No,2.0,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,No,Mailed Check,49.25,97.0,0,0,0,0.0,0.0,0.0,365.0,1.0,1.2,1.2,1.0,0.0,1.0,2,0,0.0,0.0,0.0,65.2
7760-OYPDY,Female,0,No,No,2.0,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,80.65,144.15,1,0,0,5.0,84.0,1.0,64.0,1.0,5.1,5.1,0.0,1.0,0.0,2,0,0.0,0.0,0.0,99.27
7639-LIAYI,Male,0,No,No,52.0,Yes,Yes,Dsl,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),79.75,4217.8,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,55.42
2954-PIBKO,Female,0,Yes,Yes,69.0,Yes,Yes,Dsl,Yes,No,Yes,Yes,No,No,Two Year,Yes,Credit Card (Automatic),64.15,4254.1,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,94.72
8012-SOUDQ,Female,1,No,No,12.0,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,90.25,3838.75,0,1,0,0.0,0.0,0.0,365.0,1.0,80.2,80.2,1.0,0.0,1.0,3,1,0.33,0.61,1.82,59.06
9420-LOJKX,Female,0,No,No,15.0,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),99.1,1426.4,1,0,0,3.0,78.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,73.35
6575-SUVOI,Female,1,Yes,No,25.0,Yes,Yes,Dsl,Yes,No,No,Yes,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),69.5,1752.65,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,51.68
7495-OOKFY,Female,1,Yes,No,8.0,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),80.65,633.3,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,35.0,35.0,113.09
4667-QONEA,Female,1,Yes,Yes,60.0,Yes,No,Dsl,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card (Automatic),74.85,4456.35,0,0,0,17.0,106.33333333333333,3.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,31.55
1658-BYGOY,Male,1,No,No,18.0,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,95.45,1752.55,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,83.22
8769-KKTPH,Female,0,Yes,Yes,63.0,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,One Year,Yes,Credit Card (Automatic),99.65,6311.2,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,55.44
5067-XJQFU,Male,1,Yes,Yes,66.0,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Electronic Check,108.45,7076.35,0,0,0,6.0,111.0,1.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,64.67
3957-SQXML,Female,0,Yes,Yes,34.0,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),24.95,894.3,0,0,0,5.0,93.0,1.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,97.64
5954-BDFSG,Female,0,No,No,72.0,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),107.5,7853.7,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.67,23.33,48.04,103.23
0434-CSFON,Female,0,Yes,No,47.0,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,100.5,4707.1,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,77.95
1215-FIGMP,Male,0,No,No,60.0,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),89.9,5450.7,0,0,0,0.0,0.0,0.0,365.0,1.0,5.0,5.0,1.0,0.0,1.0,1,0,0.0,0.0,0.0,84.2
0526-SXDJP,Male,0,Yes,No,72.0,No,No Phone Service,Dsl,Yes,Yes,Yes,No,No,No,Two Year,No,Bank Transfer (Automatic),42.1,2962.0,0,0,0,5.0,185.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,53.62
0557-ASKVU,Female,0,Yes,Yes,18.0,Yes,No,Dsl,No,No,Yes,Yes,No,No,One Year,Yes,Credit Card (Automatic),54.4,957.1,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,67.32
5698-BQJOH,Female,0,No,No,9.0,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,94.4,857.25,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,71.58
5122-CYFXA,Female,0,No,No,3.0,Yes,No,Dsl,No,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,75.3,244.1,0,0,0,0.0,0.0,0.0,365.0,1.0,29.7,29.7,1.0,0.0,1.0,3,2,0.67,8.95,21.88,94.62
8627-ZYGSZ,Male,0,Yes,No,47.0,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,One Year,Yes,Electronic Check,78.9,3650.35,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,38.25
3410-YOQBQ,Female,0,No,No,31.0,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,79.2,2497.2,0,0,0,0.0,0.0,0.0,365.0,1.0,20.2,20.2,1.0,0.0,1.0,1,0,0.0,0.0,0.0,21.61
3170-NMYVV,Female,0,Yes,Yes,50.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),20.15,930.9,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,22.38
7410-OIEDU,Male,0,No,No,10.0,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,79.85,887.35,0,0,0,3.0,172.0,1.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,35.88
2273-QCKXA,Male,0,No,No,1.0,Yes,No,Dsl,No,No,No,Yes,No,No,Month-To-Month,No,Mailed Check,49.05,49.05,0,0,0,6.0,47.0,1.0,40.0,1.0,25.4,25.4,1.0,0.0,1.0,1,1,1.0,11.58,11.58,90.0
0731-EBJQB,Female,0,Yes,Yes,52.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,20.4,1090.65,0,0,0,4.0,173.0,1.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,33.01
1891-QRQSA,Male,1,Yes,Yes,64.0,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),111.6,7099.0,0,0,0,0.0,0.0,0.0,365.0,1.0,13.0,13.0,1.0,0.0,1.0,3,1,0.33,4.61,13.82,83.98
8028-PNXHQ,Male,0,Yes,Yes,62.0,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),24.25,1424.6,0,0,0,8.0,178.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,66.77
5630-AHZIL,Female,0,No,Yes,3.0,Yes,No,Dsl,Yes,No,No,Yes,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),64.5,177.4,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,77.42
2673-CXQEU,Female,1,No,No,56.0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,One Year,No,Electronic Check,110.5,6139.5,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.33,9.63,28.9,59.88
6416-JNVRK,Female,0,No,No,46.0,Yes,No,Dsl,No,No,No,No,No,Yes,One Year,No,Credit Card (Automatic),55.65,2688.85,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,9.44,18.87,68.3
5590-ZSKRV,Female,0,Yes,Yes,8.0,Yes,No,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,No,Mailed Check,54.65,482.25,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,40.5
0191-ZHSKZ,Male,1,No,No,30.0,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,74.75,2111.3,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,108.35
3887-PBQAO,Female,0,Yes,Yes,44.0,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card (Automatic),25.9,1216.6,0,1,0,4.0,102.0,1.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.33,3.65,10.95,55.5
5919-TMRGD,Female,0,No,Yes,1.0,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,79.35,79.35,1,0,0,4.0,254.5,2.0,6.0,1.0,0.3,0.3,1.0,0.0,1.0,1,1,1.0,26.74,26.74,68.58
8108-UXRQN,Female,0,Yes,Yes,11.0,No,No Phone Service,Dsl,Yes,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,50.55,565.35,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,77.06
9191-MYQKX,Female,0,Yes,No,7.0,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),75.15,496.9,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,25.84,51.68,84.18
9919-YLNNG,Female,0,No,No,42.0,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),103.8,4327.5,0,0,0,6.0,185.0,1.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,84.81
0318-ZOPWS,Female,0,Yes,No,49.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),20.15,973.35,0,0,0,9.0,40.5,2.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.33,7.5,22.51,77.56
4445-ZJNMU,Male,0,No,No,9.0,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),99.3,918.75,0,0,0,3.0,189.0,1.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,98.02
4808-YNLEU,Female,0,Yes,No,35.0,Yes,No,Dsl,Yes,No,No,No,Yes,No,One Year,Yes,Bank Transfer (Automatic),62.15,2215.45,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,7.36,14.73,98.72
1862-QRWPE,Female,0,Yes,Yes,48.0,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),20.65,1057.0,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,85.72
