customer_id,billing_date,amount_due,amount_paid,payment_gap,late_payment
6827-IEAUQ,2022-06-16,100.92,100.92,0.0,0
7310-EGVHZ,2022-01-13,68.88,68.88,0.0,0
7310-EGVHZ,2022-01-09,113.78,113.78,0.0,0
3413-BMNZE,2022-03-11,61.94,61.94,0.0,0
6234-RAAPL,2022-05-19,26.85,26.85,0.0,0
6234-RAAPL,2022-07-29,105.68,105.68,0.0,0
6234-RAAPL,2022-10-20,77.9,77.9,0.0,0
6047-YHPVI,2022-01-21,32.07,32.07,0.0,0
6047-YHPVI,2022-06-21,22.59,22.59,0.0,0
6572-ADKRS,2022-06-25,73.32,73.32,0.0,0
6572-ADKRS,2022-07-11,106.98,106.98,0.0,0
5380-WJKOV,2022-04-14,114.66,114.66,0.0,0
5380-WJKOV,2022-07-31,60.36,50.55,9.81,1
5380-WJKOV,2022-08-15,62.84,44.24,18.6,1
8168-UQWWF,2022-03-24,39.75,39.75,0.0,0
8168-UQWWF,2022-11-25,33.28,33.28,0.0,0
8168-UQWWF,2022-11-26,75.44,75.44,0.0,0
8865-TNMNX,2022-10-15,32.6,32.6,0.0,0
9489-DEDVP,2022-06-05,48.79,48.79,0.0,0
9489-DEDVP,2022-06-08,59.81,59.81,0.0,0
9867-JCZSP,2022-04-30,32.75,19.9,12.85,1
4671-VJLCL,2022-02-07,73.03,73.03,0.0,0
4671-VJLCL,2022-09-08,93.11,93.11,0.0,0
4080-IIARD,2022-03-10,66.31,66.31,0.0,0
3714-NTNFO,2022-08-06,54.67,54.67,0.0,0
3714-NTNFO,2022-08-18,39.28,39.28,0.0,0
3714-NTNFO,2022-12-17,51.68,51.68,0.0,0
5948-UJZLF,2022-02-01,74.4,74.4,0.0,0
5948-UJZLF,2022-12-02,56.0,56.0,0.0,0
7760-OYPDY,2022-03-18,93.04,93.04,0.0,0
7760-OYPDY,2022-06-02,105.5,105.5,0.0,0
7639-LIAYI,2022-03-24,55.42,55.42,0.0,0
2954-PIBKO,2022-07-10,110.68,110.68,0.0,0
2954-PIBKO,2022-01-13,78.77,78.77,0.0,0
8012-SOUDQ,2022-05-19,22.13,20.31,1.82,1
8012-SOUDQ,2022-12-25,47.17,47.17,0.0,0
8012-SOUDQ,2022-10-07,107.89,107.89,0.0,0
9420-LOJKX,2022-03-10,49.17,49.17,0.0,0
9420-LOJKX,2022-07-28,104.07,104.07,0.0,0
9420-LOJKX,2022-08-19,66.8,66.8,0.0,0
6575-SUVOI,2022-09-26,51.68,51.68,0.0,0
7495-OOKFY,2022-06-25,113.09,78.09,35.0,1
4667-QONEA,2022-06-27,31.55,31.55,0.0,0
1658-BYGOY,2022-12-02,67.17,67.17,0.0,0
1658-BYGOY,2022-03-25,76.64,76.64,0.0,0
1658-BYGOY,2022-04-21,105.84,105.84,0.0,0
8769-KKTPH,2022-04-15,71.84,71.84,0.0,0
8769-KKTPH,2022-06-05,35.48,35.48,0.0,0
8769-KKTPH,2022-05-17,59.0,59.0,0.0,0
5067-XJQFU,2022-09-28,63.43,63.43,0.0,0
5067-XJQFU,2022-09-15,24.01,24.01,0.0,0
5067-XJQFU,2022-01-01,106.58,106.58,0.0,0
3957-SQXML,2022-08-29,112.45,112.45,0.0,0
3957-SQXML,2022-04-21,69.62,69.62,0.0,0
3957-SQXML,2022-04-05,110.85,110.85,0.0,0
5954-BDFSG,2022-02-08,112.65,64.61,48.04,1
5954-BDFSG,2022-08-08,79.28,79.28,0.0,0
5954-BDFSG,2022-06-12,117.76,95.8,21.96,1
0434-CSFON,2022-04-19,68.89,68.89,0.0,0
0434-CSFON,2022-12-06,65.04,65.04,0.0,0
0434-CSFON,2022-05-29,99.91,99.91,0.0,0
1215-FIGMP,2022-06-05,84.2,84.2,0.0,0
0526-SXDJP,2022-04-25,80.61,80.61,0.0,0
0526-SXDJP,2022-05-12,26.64,26.64,0.0,0
0557-ASKVU,2022-03-23,68.79,68.79,0.0,0
0557-ASKVU,2022-08-26,65.85,65.85,0.0,0
5698-BQJOH,2022-05-25,105.01,105.01,0.0,0
5698-BQJOH,2022-12-29,38.14,38.14,0.0,0
5122-CYFXA,2022-10-03,108.07,86.19,21.88,1
5122-CYFXA,2022-06-09,78.04,73.06,4.98,1
5122-CYFXA,2022-02-09,97.75,97.75,0.0,0
8627-ZYGSZ,2022-11-26,38.25,38.25,0.0,0
3410-YOQBQ,2022-07-28,21.61,21.61,0.0,0
3170-NMYVV,2022-07-05,22.27,22.27,0.0,0
3170-NMYVV,2022-02-15,22.5,22.5,0.0,0
7410-OIEDU,2022-09-13,35.88,35.88,0.0,0
2273-QCKXA,2022-09-14,90.0,78.42,11.58,1
0731-EBJQB,2022-07-05,28.52,28.52,0.0,0
0731-EBJQB,2022-02-03,37.49,37.49,0.0,0
1891-QRQSA,2022-09-02,103.73,103.73,0.0,0
1891-QRQSA,2022-10-05,103.78,103.78,0.0,0
1891-QRQSA,2022-08-30,44.43,30.61,13.82,1
8028-PNXHQ,2022-04-07,66.77,66.77,0.0,0
5630-AHZIL,2022-01-07,48.5,48.5,0.0,0
5630-AHZIL,2022-07-24,94.87,94.87,0.0,0
5630-AHZIL,2022-07-05,88.9,88.9,0.0,0
2673-CXQEU,2022-04-28,59.72,59.72,0.0,0
2673-CXQEU,2022-08-02,89.63,60.73,28.9,1
2673-CXQEU,2022-11-08,30.28,30.28,0.0,0
6416-JNVRK,2022-02-17,96.56,96.56,0.0,0
6416-JNVRK,2022-11-25,40.03,21.16,18.87,1
5590-ZSKRV,2022-03-16,40.5,40.5,0.0,0
0191-ZHSKZ,2022-01-12,108.35,108.35,0.0,0
3887-PBQAO,2022-02-02,45.03,45.03,0.0,0
3887-PBQAO,2022-08-16,84.57,84.57,0.0,0
3887-PBQAO,2022-02-12,36.89,25.94,10.95,1
5919-TMRGD,2022-05-08,68.58,41.84,26.74,1
8108-UXRQN,2022-12-17,77.06,77.06,0.0,0
9191-MYQKX,2022-11-12,56.5,56.5,0.0,0
9191-MYQKX,2022-04-14,111.87,60.19,51.68,1
9919-YLNNG,2022-11-18,84.81,84.81,0.0,0
0318-ZOPWS,2022-08-10,44.5,44.5,0.0,0
0318-ZOPWS,2022-09-05,71.27,71.27,0.0,0
0318-ZOPWS,2022-02-15,116.92,94.41,22.51,1
4445-ZJNMU,2022-07-23,85.43,85.43,0.0,0
4445-ZJNMU,2022-02-20,110.61,110.61,0.0,0
4808-YNLEU,2022-11-24,118.99,104.26,14.73,1
4808-YNLEU,2022-09-08,78.45,78.45,0.0,0
1862-QRWPE,2022-03-05,87.34,87.34,0.0,0
1862-QRWPE,2022-11-30,84.11,84.11,0.0,0
2796-NNUFI,2022-01-20,109.92,109.92,0.0,0
2796-NNUFI,2022-03-05,37.07,37.07,0.0,0
3016-KSVCP,2022-09-23,57.69,57.69,0.0,0
4767-HZZHQ,2022-10-27,106.05,106.05,0.0,0
4767-HZZHQ,2022-03-10,94.6,94.6,0.0,0
2424-WVHPL,2022-10-16,113.3,113.3,0.0,0
2424-WVHPL,2022-11-12,84.0,84.0,0.0,0
7233-PAHHL,2022-08-24,35.56,35.56,0.0,0
6067-NGCEU,2022-06-24,67.36,67.36,0.0,0
6067-NGCEU,2022-01-17,61.32,61.32,0.0,0
9848-JQJTX,2022-03-09,102.38,102.38,0.0,0
8637-XJIVR,2022-04-29,95.46,95.46,0.0,0
8637-XJIVR,2022-05-16,28.42,28.42,0.0,0
9803-FTJCG,2022-01-05,112.81,112.81,0.0,0
9803-FTJCG,2022-08-09,24.59,13.05,11.54,1
9803-FTJCG,2022-06-14,88.37,88.37,0.0,0
0278-YXOOG,2022-08-31,80.51,80.51,0.0,0
0278-YXOOG,2022-06-03,37.77,31.77,6.0,1
3212-KXOCR,2022-07-07,24.4,24.4,0.0,0
3212-KXOCR,2022-12-09,58.25,58.25,0.0,0
4598-XLKNJ,2022-12-03,79.79,42.14,37.65,1
4598-XLKNJ,2022-09-24,39.79,39.79,0.0,0
6380-ARCEH,2022-02-24,46.21,46.21,0.0,0
6380-ARCEH,2022-08-24,30.24,30.24,0.0,0
3679-XASPY,2022-10-25,96.17,96.17,0.0,0
3679-XASPY,2022-11-29,24.75,24.75,0.0,0
3679-XASPY,2022-04-26,87.72,87.72,0.0,0
7123-WQUHX,2022-07-07,33.87,33.87,0.0,0
7123-WQUHX,2022-11-23,56.06,56.06,0.0,0
7123-WQUHX,2022-04-07,88.9,57.16,31.74,1
5386-THSLQ,2022-08-01,119.13,119.13,0.0,0
5386-THSLQ,2022-06-17,77.96,45.17,32.79,1
3192-NQECA,2022-08-16,50.57,50.57,0.0,0
6180-YBIQI,2022-08-18,53.62,53.62,0.0,0
6180-YBIQI,2022-07-10,24.48,24.48,0.0,0
6180-YBIQI,2022-08-30,23.7,23.7,0.0,0
6728-DKUCO,2022-01-02,62.0,62.0,0.0,0
6728-DKUCO,2022-08-29,112.01,112.01,0.0,0
9750-BOOHV,2022-04-22,100.47,100.47,0.0,0
9750-BOOHV,2022-10-02,73.24,73.24,0.0,0
9750-BOOHV,2022-08-29,106.03,106.03,0.0,0
8597-CWYHH,2022-10-19,48.95,48.95,0.0,0
2848-YXSMW,2022-01-16,29.61,29.61,0.0,0
0486-HECZI,2022-08-04,104.35,52.98,51.37,1
0486-HECZI,2022-11-13,57.97,57.97,0.0,0
0486-HECZI,2022-08-10,53.93,53.93,0.0,0
4549-ZDQYY,2022-04-23,20.9,20.9,0.0,0
5712-AHQNN,2022-11-13,70.11,70.11,0.0,0
5712-AHQNN,2022-02-14,105.49,105.49,0.0,0
4846-WHAFZ,2022-06-23,74.88,60.35,14.53,1
5256-SKJGO,2022-02-02,89.96,89.96,0.0,0
5256-SKJGO,2022-11-22,97.84,97.84,0.0,0
3071-VBYPO,2022-10-22,28.97,28.97,0.0,0
3071-VBYPO,2022-12-28,34.86,34.86,0.0,0
3071-VBYPO,2022-02-28,91.19,91.19,0.0,0
9560-BBZXK,2022-06-03,43.7,43.7,0.0,0
5299-RULOA,2022-05-16,106.99,68.39,38.6,1
5299-RULOA,2022-06-27,37.91,37.91,0.0,0
5299-RULOA,2022-07-10,114.81,114.81,0.0,0
8402-OOOHJ,2022-06-28,40.32,40.32,0.0,0
8402-OOOHJ,2022-09-03,114.11,114.11,0.0,0
8402-OOOHJ,2022-08-03,112.54,112.54,0.0,0
9445-ZUEQE,2022-06-10,37.1,37.1,0.0,0
1091-SOZGA,2022-05-23,75.47,75.47,0.0,0
1091-SOZGA,2022-01-18,34.96,34.96,0.0,0
2928-HLDBA,2022-06-16,105.01,105.01,0.0,0
2928-HLDBA,2022-08-11,104.8,104.8,0.0,0
0404-SWRVG,2022-11-15,75.77,40.26,35.51,1
6497-TILVL,2022-11-15,47.36,47.36,0.0,0
6497-TILVL,2022-10-24,90.58,90.58,0.0,0
7219-TLZHO,2022-08-25,105.09,105.09,0.0,0
4622-YNKIJ,2022-12-23,60.35,60.35,0.0,0
4412-YLTKF,2022-10-09,81.44,81.44,0.0,0
4412-YLTKF,2022-08-06,29.59,26.03,3.56,1
6734-PSBAW,2022-12-03,95.33,95.33,0.0,0
6734-PSBAW,2022-05-31,85.3,64.47,20.83,1
3930-ZGWVE,2022-07-06,58.94,58.94,0.0,0
3930-ZGWVE,2022-01-21,32.37,32.37,0.0,0
3930-ZGWVE,2022-10-08,89.32,70.57,18.75,1
2639-UGMAZ,2022-09-18,29.05,29.05,0.0,0
2639-UGMAZ,2022-12-03,66.48,66.48,0.0,0
2639-UGMAZ,2022-02-20,106.53,106.53,0.0,0
2876-GZYZC,2022-01-24,50.97,50.97,0.0,0
2876-GZYZC,2022-12-19,86.16,48.85,37.31,1
2876-GZYZC,2022-03-12,91.2,91.2,0.0,0
6207-WIOLX,2022-08-21,96.71,96.71,0.0,0
6207-WIOLX,2022-05-27,86.91,86.91,0.0,0
8587-XYZSF,2022-05-26,94.63,94.63,0.0,0
8587-XYZSF,2022-06-29,101.43,101.43,0.0,0
3091-FYHKI,2022-11-04,36.14,19.23,16.91,1
3091-FYHKI,2022-03-16,80.9,80.9,0.0,0
3091-FYHKI,2022-04-01,98.15,98.15,0.0,0
2372-HWUHI,2022-04-07,83.81,83.81,0.0,0
2372-HWUHI,2022-01-05,31.14,31.14,0.0,0
2372-HWUHI,2022-06-04,119.91,119.91,0.0,0
7799-LGRDP,2022-01-09,101.32,101.32,0.0,0
7799-LGRDP,2022-08-18,90.88,90.88,0.0,0
7799-LGRDP,2022-11-27,76.42,76.42,0.0,0
7850-VWJUU,2022-07-02,67.51,67.51,0.0,0
7850-VWJUU,2022-06-30,82.46,82.46,0.0,0
7850-VWJUU,2022-11-17,69.67,69.67,0.0,0
3774-VBNXY,2022-11-27,45.95,45.95,0.0,0
6217-KDYWC,2022-10-23,38.1,38.1,0.0,0
0390-DCFDQ,2022-11-11,28.24,28.24,0.0,0
3146-MSEGF,2022-08-04,82.03,82.03,0.0,0
3146-MSEGF,2022-10-17,46.24,46.24,0.0,0
4080-OGPJL,2022-08-29,40.95,36.79,4.16,1
4080-OGPJL,2022-03-17,37.81,37.81,0.0,0
4080-OGPJL,2022-05-12,91.65,91.65,0.0,0
1095-WGNGG,2022-02-24,110.19,110.19,0.0,0
1095-WGNGG,2022-06-04,36.41,36.41,0.0,0
2636-SJDOU,2022-07-25,107.28,107.28,0.0,0
1131-QQZEB,2022-05-29,35.35,35.35,0.0,0
5716-EZXZN,2022-06-15,109.88,109.88,0.0,0
5716-EZXZN,2022-04-14,35.64,35.64,0.0,0
6837-BJYDQ,2022-11-24,109.3,109.3,0.0,0
6837-BJYDQ,2022-06-07,28.67,28.67,0.0,0
6837-BJYDQ,2022-09-05,119.84,119.84,0.0,0
2135-RXIHG,2022-10-12,46.02,46.02,0.0,0
6440-DKQGE,2022-05-07,39.1,22.49,16.61,1
3466-BYAVD,2022-04-14,44.48,44.48,0.0,0
3466-BYAVD,2022-10-24,43.73,43.73,0.0,0
3780-YVMFA,2022-12-12,87.17,87.17,0.0,0
3780-YVMFA,2022-08-01,80.7,80.7,0.0,0
3874-EQOEP,2022-05-29,30.82,30.82,0.0,0
3874-EQOEP,2022-10-23,25.58,25.58,0.0,0
1679-JRFBR,2022-07-08,66.42,66.42,0.0,0
1679-JRFBR,2022-11-22,53.35,53.35,0.0,0
1679-JRFBR,2022-03-29,85.09,85.09,0.0,0
9073-ZZIAY,2022-11-28,44.65,44.65,0.0,0
9073-ZZIAY,2022-10-28,104.36,74.87,29.49,1
3077-RSNTJ,2022-07-07,95.1,95.1,0.0,0
3077-RSNTJ,2022-07-31,41.3,41.3,0.0,0
3077-RSNTJ,2022-02-21,78.93,78.93,0.0,0
6551-GNYDG,2022-01-01,76.45,47.41,29.04,1
6551-GNYDG,2022-12-25,49.29,49.29,0.0,0
9167-APMXZ,2022-12-27,90.63,90.63,0.0,0
9167-APMXZ,2022-08-20,87.15,87.15,0.0,0
2749-CTKAJ,2022-04-01,119.79,119.79,0.0,0
2749-CTKAJ,2022-06-26,85.63,49.45,36.18,1
6371-NZYEG,2022-02-16,53.23,53.23,0.0,0
6371-NZYEG,2022-08-02,62.76,62.76,0.0,0
6371-NZYEG,2022-02-09,56.02,56.02,0.0,0
7554-NEWDD,2022-08-20,73.39,73.39,0.0,0
7554-NEWDD,2022-07-30,70.15,70.15,0.0,0
8992-VONJD,2022-07-28,55.02,55.02,0.0,0
8992-VONJD,2022-10-25,40.03,40.03,0.0,0
8992-VONJD,2022-04-29,52.68,52.68,0.0,0
0867-MKZVY,2022-03-28,23.04,23.04,0.0,0
0867-MKZVY,2022-01-07,57.63,57.63,0.0,0
4482-EWFMI,2022-08-14,28.65,25.63,3.02,1
4482-EWFMI,2022-09-23,36.56,36.56,0.0,0
4648-YPBTM,2022-03-14,92.76,92.76,0.0,0
2907-ILJBN,2022-03-17,40.38,40.38,0.0,0
6345-FZOQH,2022-01-05,111.32,111.32,0.0,0
6345-FZOQH,2022-04-24,29.31,27.63,1.68,1
6345-FZOQH,2022-03-09,68.61,68.61,0.0,0
3376-BMGFE,2022-02-04,110.03,110.03,0.0,0
3376-BMGFE,2022-02-11,53.05,53.05,0.0,0
3376-BMGFE,2022-10-15,38.34,38.34,0.0,0
5997-OPVFA,2022-07-03,117.63,117.63,0.0,0
3445-HXXGF,2022-11-19,24.94,24.94,0.0,0
1159-WFSGR,2022-02-28,50.01,50.01,0.0,0
1159-WFSGR,2022-11-20,118.95,118.95,0.0,0
7654-YWJUF,2022-12-29,89.4,89.4,0.0,0
7654-YWJUF,2022-03-22,51.45,42.27,9.18,1
1875-QIVME,2022-04-04,52.37,52.37,0.0,0
1875-QIVME,2022-05-06,58.68,58.68,0.0,0
1875-QIVME,2022-12-08,33.99,33.99,0.0,0
6727-IOTLZ,2022-02-02,119.62,119.62,0.0,0
6727-IOTLZ,2022-01-18,110.37,110.37,0.0,0
6727-IOTLZ,2022-12-29,111.74,111.74,0.0,0
0691-JVSYA,2022-08-28,82.42,82.42,0.0,0
0691-JVSYA,2022-11-06,47.93,38.68,9.25,1
5918-VUKWP,2022-12-21,67.6,67.6,0.0,0
5918-VUKWP,2022-06-17,91.8,54.93,36.87,1
5918-VUKWP,2022-01-09,67.96,67.96,0.0,0
1744-JHKYS,2022-11-11,59.5,59.5,0.0,0
1744-JHKYS,2022-05-19,30.3,30.3,0.0,0
1744-JHKYS,2022-02-11,118.87,118.87,0.0,0
2656-FMOKZ,2022-07-20,29.41,29.41,0.0,0
2070-FNEXE,2022-02-17,104.37,104.37,0.0,0
5947-SGKCL,2022-12-13,100.38,100.38,0.0,0
3712-PKXZA,2022-07-10,72.63,72.63,0.0,0
3712-PKXZA,2022-07-04,36.11,36.11,0.0,0
6317-YPKDH,2022-05-21,38.41,38.41,0.0,0
6317-YPKDH,2022-02-25,94.39,70.14,24.25,1
6582-OIVSP,2022-04-13,100.97,100.97,0.0,0
6582-OIVSP,2022-03-18,112.1,112.1,0.0,0
9367-WXLCH,2022-03-23,94.45,94.45,0.0,0
9367-WXLCH,2022-06-13,48.63,48.63,0.0,0
5524-KHNJP,2022-06-12,50.67,50.67,0.0,0
5524-KHNJP,2022-01-03,56.08,56.08,0.0,0
5524-KHNJP,2022-10-02,97.35,97.35,0.0,0
1918-ZBFQJ,2022-05-29,36.54,28.18,8.36,1
1918-ZBFQJ,2022-11-23,90.38,90.38,0.0,0
1918-ZBFQJ,2022-11-13,42.13,26.62,15.51,1
1024-GUALD,2022-01-10,92.92,92.92,0.0,0
1024-GUALD,2022-04-13,65.89,65.89,0.0,0
1024-GUALD,2022-08-18,95.86,95.86,0.0,0
4827-USJHP,2022-10-28,41.16,41.16,0.0,0
8167-GJLRN,2022-08-12,102.61,102.61,0.0,0
8167-GJLRN,2022-02-10,81.81,81.81,0.0,0
0956-SYCWG,2022-05-10,30.67,30.67,0.0,0
8017-UVSZU,2022-06-02,42.92,30.76,12.16,1
7100-FQPRV,2022-07-26,110.11,90.22,19.89,1
7100-FQPRV,2022-02-05,75.89,75.89,0.0,0
2472-OVKUP,2022-11-15,25.32,25.32,0.0,0
2472-OVKUP,2022-01-27,85.77,85.77,0.0,0
2472-OVKUP,2022-05-04,116.83,116.83,0.0,0
2984-RGEYA,2022-12-25,31.8,31.8,0.0,0
9680-NIAUV,2022-03-18,94.57,94.57,0.0,0
9680-NIAUV,2022-02-17,25.78,25.78,0.0,0
2146-EGVDT,2022-03-14,64.11,64.11,0.0,0
2146-EGVDT,2022-09-16,115.28,115.28,0.0,0
2604-IJPDU,2022-03-23,74.71,74.71,0.0,0
2604-IJPDU,2022-01-13,103.24,89.25,13.99,1
2604-IJPDU,2022-06-15,39.07,39.07,0.0,0
9178-JHUVJ,2022-10-05,86.88,86.88,0.0,0
9178-JHUVJ,2022-01-04,22.61,22.61,0.0,0
9178-JHUVJ,2022-07-26,81.93,81.93,0.0,0
6168-YBYNP,2022-08-20,38.72,33.08,5.64,1
6168-YBYNP,2022-07-05,41.92,41.92,0.0,0
7255-SSFBC,2022-07-14,65.62,65.62,0.0,0
7255-SSFBC,2022-01-01,26.4,26.4,0.0,0
7255-SSFBC,2022-09-30,38.91,38.91,0.0,0
3645-DEYGF,2022-01-27,52.58,52.58,0.0,0
9323-HGFWY,2022-02-24,107.01,107.01,0.0,0
9323-HGFWY,2022-09-27,100.2,52.27,47.93,1
8544-GOQSH,2022-11-03,96.8,96.8,0.0,0
8544-GOQSH,2022-08-23,43.51,26.52,16.99,1
3363-DTIVD,2022-08-10,41.32,41.32,0.0,0
3363-DTIVD,2022-07-28,97.51,97.51,0.0,0
3363-DTIVD,2022-12-10,83.98,53.47,30.51,1
7018-WBJNK,2022-03-16,66.18,66.18,0.0,0
7018-WBJNK,2022-08-19,105.83,105.83,0.0,0
7018-WBJNK,2022-12-18,73.39,73.39,0.0,0
9142-KZXOP,2022-10-23,102.99,102.99,0.0,0
9142-KZXOP,2022-04-02,25.52,25.52,0.0,0
9142-KZXOP,2022-05-26,28.97,28.97,0.0,0
7674-YTAFD,2022-07-22,83.56,83.56,0.0,0
7674-YTAFD,2022-07-05,110.58,110.58,0.0,0
7674-YTAFD,2022-12-28,110.82,110.82,0.0,0
6348-SNFUS,2022-02-20,74.04,74.04,0.0,0
6348-SNFUS,2022-12-26,55.21,55.21,0.0,0
6348-SNFUS,2022-11-11,56.26,56.26,0.0,0
1285-OKIPP,2022-02-09,106.05,106.05,0.0,0
1285-OKIPP,2022-06-30,56.8,56.8,0.0,0
7825-ECJRF,2022-04-06,59.71,59.71,0.0,0
7825-ECJRF,2022-10-04,94.9,94.9,0.0,0
7825-ECJRF,2022-01-15,114.78,114.78,0.0,0
1347-KTTTA,2022-06-23,35.76,35.76,0.0,0
7841-TZDMQ,2022-03-23,34.3,34.3,0.0,0
7841-TZDMQ,2022-04-27,60.39,60.39,0.0,0
7841-TZDMQ,2022-12-08,54.04,54.04,0.0,0
4195-NZGTA,2022-06-14,104.53,104.53,0.0,0
4195-NZGTA,2022-12-23,90.31,90.31,0.0,0
7157-SMCFK,2022-06-14,119.41,119.41,0.0,0
4709-LKHYG,2022-08-08,65.87,65.87,0.0,0
4709-LKHYG,2022-08-19,40.32,40.32,0.0,0
2504-DSHIH,2022-09-12,76.18,76.18,0.0,0
2504-DSHIH,2022-12-06,55.93,55.93,0.0,0
2504-DSHIH,2022-07-15,22.6,22.6,0.0,0
0699-NDKJM,2022-05-10,91.62,91.62,0.0,0
0699-NDKJM,2022-05-05,86.76,86.76,0.0,0
0699-NDKJM,2022-12-17,54.64,54.64,0.0,0
9286-BHDQG,2022-01-17,99.9,99.9,0.0,0
0230-WEQUW,2022-03-19,53.42,53.42,0.0,0
2040-LDIWQ,2022-12-10,87.31,87.31,0.0,0
6496-JDSSB,2022-11-07,60.52,60.52,0.0,0
6496-JDSSB,2022-11-08,30.66,30.66,0.0,0
6496-JDSSB,2022-07-20,30.19,30.19,0.0,0
9408-SSNVZ,2022-07-17,71.89,71.89,0.0,0
4443-EMBNA,2022-09-15,33.15,33.15,0.0,0
4443-EMBNA,2022-03-27,77.34,77.34,0.0,0
4443-EMBNA,2022-12-24,117.69,117.69,0.0,0
6469-MRVET,2022-09-07,72.05,72.05,0.0,0
6469-MRVET,2022-02-07,116.44,116.44,0.0,0
6469-MRVET,2022-04-10,20.55,17.36,3.19,1
0742-MOABM,2022-08-22,43.66,43.66,0.0,0
5961-VUSRV,2022-02-09,117.99,117.99,0.0,0
5961-VUSRV,2022-09-06,54.61,54.61,0.0,0
5961-VUSRV,2022-01-20,118.11,84.15,33.96,1
6778-JFCMK,2022-03-27,74.7,74.7,0.0,0
6778-JFCMK,2022-05-31,101.82,101.82,0.0,0
6341-JVQGF,2022-03-24,48.85,48.85,0.0,0
